"filename", "language", "HTML", "CSS", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\dev\tickets-beta\GAS\core\ver.7\Code.gs", "JavaScript", 0, 0, -1971, 0, -169, -339, -2479
"c:\dev\tickets-beta\GAS\core\ver.7\SpreadsheetIds.gs", "JavaScript", 0, 0, -83, 0, -18, -18, -119
"c:\dev\tickets-beta\GAS\core\ver.7\TimeSlotConfig.gs", "JavaScript", 0, 0, -74, 0, -16, -6, -96
"c:\dev\tickets-beta\GAS\core\ver.7\system-setting.gs", "JavaScript", 0, 0, -58, 0, -5, -9, -72
"c:\dev\tickets-beta\GAS\reservation-again\init\init-log.gs", "JavaScript", 0, 0, -25, 0, -2, -3, -30
"c:\dev\tickets-beta\GAS\reservation-again\init\init-main.gs", "JavaScript", 0, 0, -31, 0, -1, -4, -36
"c:\dev\tickets-beta\GAS\reservation-again\system-main.gs", "JavaScript", 0, 0, -190, 0, -16, -31, -237
"c:\dev\tickets-beta\GAS\tickets-for-parents\init\log.gs", "JavaScript", 0, 0, -12, 0, -1, 0, -13
"c:\dev\tickets-beta\GAS\tickets-for-parents\init\main.gs", "JavaScript", 0, 0, -12, 0, -1, 0, -13
"c:\dev\tickets-beta\GAS\tickets-for-parents\mail-check.gs", "JavaScript", 0, 0, -32, 0, -4, -8, -44
"c:\dev\tickets-beta\GAS\tickets-for-parents\system-main.gs", "JavaScript", 0, 0, -77, 0, -9, -9, -95
"c:\dev\tickets-beta\GAS\tickets-for-teachers\mail-check.gs", "JavaScript", 0, 0, -208, 0, -23, -44, -275
"c:\dev\tickets-beta\GAS\tickets-for-teachers\system-main.gs", "JavaScript", 0, 0, -268, 0, -21, -36, -325
"c:\dev\tickets-beta\README.md", "Markdown", 0, 0, 0, 330, 0, 56, 386
"c:\dev\tickets-beta\index.html", "HTML", 11, 0, 0, 0, 0, 2, 13
"c:\dev\tickets-beta\seats-main.js", "JavaScript", 0, 0, 98, 0, 7, 18, 123
"c:\dev\tickets-beta\seats.css", "CSS", 0, 52, 0, 0, 0, 2, 54
"c:\dev\tickets-beta\seats.html", "HTML", 11, 0, 0, 0, 0, 1, 12
"Total", "-", 22, 52, -2943, 330, -279, -428, -3246
