"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\dev\tickets-beta\GAS\tickets-for-parents\parent-multi.html", "HTML", 0, 0, 503, 0, 0, 0, 0, 56, 559
"c:\dev\tickets-beta\README.md", "Markdown", 0, 0, 0, 0, 0, 584, 0, 141, 725
"c:\dev\tickets-beta\api-cache.js", "JavaScript", 212, 0, 0, 0, 0, 0, 31, 49, 292
"c:\dev\tickets-beta\api.js", "JavaScript", 487, 0, 0, 0, 0, 0, 47, 72, 606
"c:\dev\tickets-beta\audit-logger.js", "JavaScript", 211, 0, 0, 0, 0, 0, 12, 28, 251
"c:\dev\tickets-beta\browserconfig.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\dev\tickets-beta\config.js", "JavaScript", 288, 0, 0, 0, 0, 0, 44, 47, 379
"c:\dev\tickets-beta\enhanced-status-monitor.js", "JavaScript", 327, 0, 0, 0, 0, 0, 48, 75, 450
"c:\dev\tickets-beta\error-handler.js", "JavaScript", 169, 0, 0, 0, 0, 0, 13, 27, 209
"c:\dev\tickets-beta\full-capacity-monitor.js", "JavaScript", 197, 0, 0, 0, 0, 0, 28, 44, 269
"c:\dev\tickets-beta\index-main.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 4, 21
"c:\dev\tickets-beta\index.html", "HTML", 0, 0, 279, 0, 0, 0, 0, 30, 309
"c:\dev\tickets-beta\logs-main.js", "JavaScript", 674, 0, 0, 0, 0, 0, 108, 127, 909
"c:\dev\tickets-beta\logs.css", "CSS", 0, 0, 0, 535, 0, 0, 0, 100, 635
"c:\dev\tickets-beta\logs.html", "HTML", 0, 0, 322, 0, 0, 0, 0, 22, 344
"c:\dev\tickets-beta\manifest.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 1, 84
"c:\dev\tickets-beta\monitoring-dashboard.html", "HTML", 0, 0, 2672, 0, 0, 0, 0, 402, 3074
"c:\dev\tickets-beta\offline-sync-v2.css", "CSS", 0, 0, 0, 776, 0, 0, 0, 121, 897
"c:\dev\tickets-beta\offline-sync-v2.js", "JavaScript", 2628, 0, 0, 0, 0, 0, 242, 377, 3247
"c:\dev\tickets-beta\offline-sync.js", "JavaScript", 440, 0, 0, 0, 0, 0, 55, 77, 572
"c:\dev\tickets-beta\optimized-api.js", "JavaScript", 253, 0, 0, 0, 0, 0, 23, 46, 322
"c:\dev\tickets-beta\optimized-loader.js", "JavaScript", 125, 0, 0, 0, 0, 0, 12, 27, 164
"c:\dev\tickets-beta\performance-monitor.js", "JavaScript", 226, 0, 0, 0, 0, 0, 11, 52, 289
"c:\dev\tickets-beta\pwa-install.js", "JavaScript", 146, 0, 0, 0, 0, 0, 16, 26, 188
"c:\dev\tickets-beta\pwa-update.js", "JavaScript", 410, 0, 0, 0, 0, 0, 21, 61, 492
"c:\dev\tickets-beta\seats-main.js", "JavaScript", 1384, 0, 0, 0, 0, 0, 245, 277, 1906
"c:\dev\tickets-beta\seats.css", "CSS", 0, 0, 0, 815, 0, 0, 0, 106, 921
"c:\dev\tickets-beta\seats.html", "HTML", 0, 0, 308, 0, 0, 0, 0, 31, 339
"c:\dev\tickets-beta\sidebar.css", "CSS", 0, 0, 0, 213, 0, 0, 0, 37, 250
"c:\dev\tickets-beta\sidebar.js", "JavaScript", 357, 0, 0, 0, 0, 0, 22, 39, 418
"c:\dev\tickets-beta\styles.css", "CSS", 0, 0, 0, 270, 0, 0, 0, 38, 308
"c:\dev\tickets-beta\sw.js", "JavaScript", 176, 0, 0, 0, 0, 0, 26, 17, 219
"c:\dev\tickets-beta\system-lock.js", "JavaScript", 87, 0, 0, 0, 0, 0, 12, 10, 109
"c:\dev\tickets-beta\timeslot-main.js", "JavaScript", 141, 0, 0, 0, 0, 0, 27, 34, 202
"c:\dev\tickets-beta\timeslot-schedules.js", "JavaScript", 138, 0, 0, 0, 0, 0, 2, 5, 145
"c:\dev\tickets-beta\timeslot.html", "HTML", 0, 0, 260, 0, 0, 0, 0, 29, 289
"c:\dev\tickets-beta\ui-optimizer.js", "JavaScript", 270, 0, 0, 0, 0, 0, 35, 65, 370
"c:\dev\tickets-beta\walkin-main.js", "JavaScript", 366, 0, 0, 0, 0, 0, 43, 67, 476
"c:\dev\tickets-beta\walkin.css", "CSS", 0, 0, 0, 272, 0, 0, 0, 46, 318
"c:\dev\tickets-beta\walkin.html", "HTML", 0, 0, 299, 0, 0, 0, 0, 32, 331
"Total", "-", 9726, 83, 4643, 2881, 9, 584, 1126, 2846, 21898
